,id,name
Harry_Reid,0,Harry_Reid
Thomas_Harkin,1,Thomas_Harkin
Max_Baucus,2,Max_Baucus
Mitch_McConnell,3,Mitch_McConnell
Mark_Pryor,4,Mark_Pryor
Susan_Collins,5,Susan_Collins
Carl_Levin,6,Carl_Levin
James_Inhofe,7,James_Inhofe
Jefferson_Sessions,8,Jefferson_Sessions
David_Vitter,9,David_Vitter
John_Rockefeller,10,John_Rockefeller
Bernard_Sanders,11,Bernard_Sanders
Thomas_Carper,12,Thomas_Carper
Saxby_Chambliss,13,Saxby_Chambliss
Richard_Burr,14,Richard_Burr
Robert_Casey,15,Robert_Casey
John_Boozman,16,John_Boozman
Patty_Murray,17,Patty_Murray
Mary_Landrieu,18,Mary_Landrieu
Jerry_Moran,19,Jerry_Moran
Claire_McCaskill,20,Claire_McCaskill
Mark_Udall,21,Mark_Udall
Kay_Hagan,22,Kay_Hagan
John_Cornyn,23,John_Cornyn
Michael_Crapo,24,Michael_Crapo
Bob_Corker,25,Bob_Corker
John_Barrasso,26,John_Barrasso
Michael_Enzi,27,Michael_Enzi
Thomas_Coburn,28,Thomas_Coburn
Sheldon_Whitehouse,29,Sheldon_Whitehouse
Jeanne_Shaheen,30,Jeanne_Shaheen
Martin_Heinrich,31,Martin_Heinrich
Daniel_Coats,32,Daniel_Coats
Charles_Schumer,33,Charles_Schumer
Richard_Durbin,34,Richard_Durbin
Roy_Blunt,35,Roy_Blunt
Mark_Warner,36,Mark_Warner
James_Risch,37,James_Risch
Tim_Johnson,38,Tim_Johnson
Alan_Franken,39,Alan_Franken
Mark_Begich,40,Mark_Begich
Brian_Schatz,41,Brian_Schatz
Deb_Fischer,42,Deb_Fischer
Kirsten_Gillibrand,43,Kirsten_Gillibrand
Tammy_Baldwin,44,Tammy_Baldwin
John_Walsh,45,John_Walsh
Mark_Kirk,46,Mark_Kirk
Dean_Heller,47,Dean_Heller
Jeff_Flake,48,Jeff_Flake
Thad_Cochran,49,Thad_Cochran
Mike_Johanns,50,Mike_Johanns
Robert_Portman,51,Robert_Portman
Edward_Markey,52,Edward_Markey
Cory_Booker,53,Cory_Booker
Roger_Wicker,54,Roger_Wicker
Benjamin_Cardin,55,Benjamin_Cardin
Tom_Udall,56,Tom_Udall
Mike_Lee,57,Mike_Lee
Ted_Cruz,58,Ted_Cruz
Amy_Klobuchar,59,Amy_Klobuchar
Pat_Roberts,60,Pat_Roberts
Patrick_Leahy,61,Patrick_Leahy
Orrin_Hatch,62,Orrin_Hatch
Charles_Grassley,63,Charles_Grassley
Ron_Wyden,64,Ron_Wyden
Debbie_Stabenow,65,Debbie_Stabenow
Dianne_Feinstein,66,Dianne_Feinstein
John_Isakson,67,John_Isakson
Barbara_Boxer,68,Barbara_Boxer
Chris_Coons,69,Chris_Coons
John_McCain,70,John_McCain
Lisa_Murkowski,71,Lisa_Murkowski
John_Hoeven,72,John_Hoeven
Jon_Tester,73,Jon_Tester
Maria_Cantwell,74,Maria_Cantwell
Heidi_Heitkamp,75,Heidi_Heitkamp
Marco_Rubio,76,Marco_Rubio
Barbara_Mikulski,77,Barbara_Mikulski
Angus_King,78,Angus_King
Mazie_Hirono,79,Mazie_Hirono
John_Reed,80,John_Reed
Tim_Scott,81,Tim_Scott
Bill_Nelson,82,Bill_Nelson
Richard_Blumenthal,83,Richard_Blumenthal
Joe_Donnelly,84,Joe_Donnelly
Elizabeth_Warren,85,Elizabeth_Warren
Timothy_Kaine,86,Timothy_Kaine
John_Thune,87,John_Thune
Sherrod_Brown,88,Sherrod_Brown
Michael_Bennet,89,Michael_Bennet
Richard_Shelby,90,Richard_Shelby
Lamar_Alexander,91,Lamar_Alexander
Lindsey_Graham,92,Lindsey_Graham
Jeff_Merkley,93,Jeff_Merkley
Christopher_Murphy,94,Christopher_Murphy
Kelly_Ayotte,95,Kelly_Ayotte
Joe_Manchin,96,Joe_Manchin
Patrick_Toomey,97,Patrick_Toomey
Robert_MenÌ.ndez,98,Robert_MenÌ.ndez
Ron_Johnson,99,Ron_Johnson
Rand_Paul,100,Rand_Paul
